,id,name,description,modified,available_comics,available_series,year,year_tags
309,1009494,Pepper Potts,,2015-11-23,86,20,2015-01-01,2010-2017
310,1009495,Pestilence,,1969-12-31,10,2,1969-01-01,1969
311,1011388,Pet Avengers,,2011-07-19,13,3,2011-01-01,2010-2017
312,1010779,Pete Wisdom,"Pete Wisdom is a former agent of the British intelligence agency Black Air, which was charged with the observation of, and interaction with, extranormal activity, and he was the agency's liaison with the British superhero group Excalibur, whom he eventually aided in exposing Black Air's subversive criminal activities.",,22,9,,0
313,1009491,Peter Parker,,2021-07-01,195,35,2021-01-01,2020-2021
314,1010734,Peter Quill,,1969-12-31,7,5,1969-01-01,1969
315,1011021,Phalanx,,2013-11-01,3,2,2013-01-01,2010-2017
316,1011419,Phantom Reporter,,1969-12-31,2,2,1969-01-01,1969
317,1017839,Phil Coulson (Phil Coulson),,2017-08-24,4,4,2017-01-01,2010-2017
318,1011369,Phil Sheldon,,1969-12-31,8,3,1969-01-01,1969
319,1014318,Phoenix Force,,2021-08-23,12,7,2021-01-01,2020-2021
320,1014528,Quake (Daisy Johnson),,2017-08-24,39,12,2017-01-01,2010-2017
321,1009523,Quasar (Phyla-Vell),,2013-11-01,106,30,2013-01-01,2010-2017
322,1010778,Quasar (Wendell Vaughn),,2013-11-01,40,19,2013-01-01,2010-2017
323,1010334,Quasimodo,,1969-12-31,10,9,1969-01-01,1969
325,1009387,Quentin Quire,,2014-02-07,60,14,2014-01-01,2010-2017
326,1009524,Quicksilver,,2014-03-05,371,130,2014-01-01,2010-2017
327,1010964,Quicksilver (Age of Apocalypse),,2013-11-20,4,3,2013-01-01,2010-2017
328,1010963,Quicksilver (Ultimate),,2014-03-05,32,13,2014-01-01,2010-2017
329,1009430,Rachel Grey,,2013-11-01,88,34,2013-01-01,2010-2017
330,1009526,Radioactive Man,,1969-12-31,26,19,1969-01-01,1969
332,1010817,Rage,,1969-12-31,33,8,1969-01-01,1969
334,1009528,Randall,,1969-12-31,7,3,1969-01-01,1969
335,1011326,Randall Flagg,,1969-12-31,1,1,1969-01-01,1969
336,1010767,Random,,1969-12-31,2,3,1969-01-01,1969
338,1011154,Ravenous,,1969-12-31,5,2,1969-01-01,1969
339,1010892,Rawhide Kid,,1969-12-31,125,7,1969-01-01,1969
340,1009531,Raza,,,35,13,,0
341,1009532,Reaper,,1969-12-31,18,8,1969-01-01,1969
342,1009533,Reavers,,1969-12-31,16,5,1969-01-01,1969
343,1015000,Reavers (Ultimate),,2012-07-11,2,2,2012-01-01,2010-2017
345,1009534,Red Ghost,,2014-04-29,15,13,2014-01-01,2010-2017
347,1014666,Red Guardian (Alexei Shostakov),,2021-08-12,7,5,2021-01-01,2020-2021
348,1011360,Red Hulk,,2016-02-11,100,28,2016-01-01,2010-2017
349,1009552,S.H.I.E.L.D.,,2017-05-04,159,71,2017-01-01,2010-2017
350,1009553,Sabra,"Ruth Bat-Seraph is an Israeli national who, along with her family, was taken to a special community by the Israeli government when her genetic mutation manifested.",1969-12-31,21,13,1969-01-01,1969
351,1009554,Sabretooth,,2014-01-27,301,109,2014-01-01,2010-2017
352,1010969,Sabretooth (Age of Apocalypse),,2013-10-24,21,7,2013-01-01,2010-2017
353,1010970,Sabretooth (House of M),,1969-12-31,1,1,1969-01-01,1969
354,1010968,Sabretooth (Ultimate),,2011-05-24,23,7,2011-01-01,2010-2017
355,1009555,Sage,,1969-12-31,37,16,1969-01-01,1969
356,1011325,Salem's Seven (Ultimate),,1969-12-31,4,1,1969-01-01,1969
357,1011126,Sally Floyd,,1969-12-31,7,3,1969-01-01,1969
358,1011156,Salo,,1969-12-31,1,1,1969-01-01,1969
359,1009558,Sandman,,1969-12-31,121,46,1969-01-01,1969
360,1010711,Santa Claus,,1969-12-31,2,2,1969-01-01,1969
362,1009560,Sasquatch (Walter Langkowski),,2011-09-08,96,35,2011-01-01,2010-2017
363,1011035,Satana,,2011-08-11,33,15,2011-01-01,2010-2017
364,1009561,Sauron,,1969-12-31,53,26,1969-01-01,1969
365,1011048,Scalphunter,,2021-07-27,25,7,2021-01-01,2020-2021
366,1010861,Scarecrow (Ebenezer Laughton),"Realizing the criminal potential of his abilities, Umberto stole a flock of trained birds from a fellow performer to assist him in his new costumed criminal guise as the Scarecrow.",1969-12-31,13,12,1969-01-01,1969
367,1011197,Scarlet Spider (Ben Reilly),,2012-01-31,77,29,2012-01-01,2010-2017
368,1011426,Scarlet Spider (Kaine),,2012-12-14,82,20,2012-01-01,2010-2017
370,1010705,Spectrum,,2013-08-30,34,14,2013-01-01,2010-2017
371,1010833,Speed,"Tommy Shepherd may be the son of the Scarlet Witch and the Vision, and thus the twin brother of Wiccan.",2011-03-10,13,9,2011-01-01,2010-2017
372,1011032,Speed Demon,"James Saunders, a disgruntled chemist tired of his job with the Hudson Pharmaceutical Company of West Caldwell, New Jersey, was contacted by the Grandmaster and offered superhuman powers in exchange for joining a team that would compete on his behalf.",2012-12-27,7,5,2012-01-01,2010-2017
373,1010694,Speedball (Robert Baldwin),,2017-08-24,37,12,2017-01-01,2010-2017
374,1009605,Spencer Smythe,,1969-12-31,7,3,1969-01-01,1969
376,1009157,Spider-Girl (Anya Corazon), ,2016-02-22,66,17,2016-01-01,2010-2017
377,1009609,Spider-Girl (May Parker),"May ""Mayday"" Parker is the daughter of Spider-Man and Mary Jane Watson-Parker. Born with all her fatherï¿½s powers-and the same silly sense of humor-sheï¿½s grown up to become one of Earthï¿½s most trusted heroes and a fitting tribute to her proud papa.",2016-03-02,196,37,2016-01-01,2010-2017
378,1017603,Spider-Gwen (Gwen Stacy),,2021-06-30,120,36,2021-01-01,2020-2021
379,1011347,Spider-Ham (Larval Earth),"As Spider-Ham Peter faced such nefarious foes as Ductor Doom, Bull-Frog, Raven the Hunter, Hogzilla, the Buzzard and the King-Pig!",2015-03-26,46,17,2015-01-01,2010-2017
380,1011054,Spider-Man (1602),,2014-03-05,44,5,2014-01-01,2010-2017
381,1014873,Spider-Man (2099),,2013-08-15,58,17,2013-01-01,2010-2017
382,1016452,Spider-Man (Ai Apaec),,2012-08-06,15,2,2012-01-01,2010-2017
383,1014858,Spider-Man (Ben Reilly),,2014-03-05,38,15,2014-01-01,2010-2017
386,1011114,Spider-Man (Marvel Zombies),"Zombie Spider-Man ate his own wife and aunt, the only two people left in the world who truly loved him.",2014-03-05,8,4,2014-01-01,2010-2017
389,1011315,U-Foes,,1969-12-31,5,4,1969-01-01,1969
390,1009681,U-Go Girl,"After a failed attempt at starting an acting career, Edie Sawyer turned to a life of crime until she learned of a new media savvy team of superhuman mutants named X-Force, and she decided to become a superhero.",1969-12-31,14,2,1969-01-01,1969
391,1009682,U.S. Agent,"With the end of the Vietnam War, John Walker thought his dreams of becoming a war hero had also ended, until he learned of the Power Broker, who could give anyone superhuman powers, which Walker used to first become Super-Patriot and later, U.S. Agent.",2014-04-29,68,25,2014-01-01,2010-2017
392,1009683,Uatu The Watcher,Uatu grew so fond of the lifeforms he observed that he occasionally violated his vow of non-interference when Earth's existence was threatened.,2013-12-26,74,34,2013-01-01,2010-2017
393,1010358,Ulik,"Ulik was a Rock Troll from the realm known as Nornheim, located underground within the dimension of Asgard.",2011-01-25,41,12,2011-01-01,2010-2017
394,1016825,Ultimate Spider-Man (USM),"For the past year, Peter Parker has been saving New York City from villains as the masked hero, Spider-Man. Facing thugs and evil geniuses alike, he learns how to balance heroics with homework and friends. Despite being a Super Hero, Peter is very much an average 16-year-old.  With the added responsibilities of being Spider-Man, juggling all the aspects of his life will continually challenge him.                                                                 

When S.H.I.E.L.D. Director, Nick Fury, offers Peter the chance to raise his game and become THE ULTIMATE SPIDER-MAN, Midtown High becomes a secret operations base for Spider-Man and other young heroes under the watchful eye of Fury and the schoolâ€™s new principal, Agent Coulson. ",2013-09-18,19,8,2013-01-01,2010-2017
395,1010803,Ultimates,,2011-05-17,127,35,2011-01-01,2010-2017
396,1009684,Ultimatum,,1969-12-31,17,9,1969-01-01,1969
397,1011311,Ultimo,"Ultimo was a robotic construct that was developed several thousand years ago on an unknown world, which the Mandarin eventually discovered and claimed as his own creation.",1969-12-31,7,3,1969-01-01,1969
398,1011125,Ultra-Adaptoid,,1969-12-31,1,1,1969-01-01,1969
399,1010847,Ultragirl (Earth-93060),,2013-10-28,1,1,2013-01-01,2010-2017
400,1009685,Ultron,"Arguably the greatest and certainly the most horrific creation of scientific genius Dr. Henry Pym, Ultron is a criminally insane rogue sentient robot dedicated to conquest and the extermination of humanity.",2013-10-18,117,54,2013-01-01,2010-2017
401,1009686,Umar,"Umar and her sibling Dormammu gathered matter to themselves to increase their power, a practice anathema to their fellow Faltine who consider energy to be superior to matter.",1969-12-31,16,5,1969-01-01,1969
402,1010862,Unicorn,"Milos Masaryk, a Soviet intelligence agent assigned as a security guard for Anton Vanko, a Soviet inventor who developed the Crimson Dynamo armor, was tasked by the Soviet government to retrieve Vanko after he defected to the United States.",1969-12-31,7,3,1969-01-01,1969
403,1010985,Union Jack (Brian Falsworth),"Imprisoned in Germany during WWII, Brian Falsworth shared a cell with a German scientist who had tried to recreate the super-soldier serum, but didn't want it to fall into Nazi hands, so he gave his only sample to Brian, who gained enhanced strength, speed, stamina and reflexes.",1969-12-31,4,3,1969-01-01,1969
404,1010696,Union Jack (Joseph Chapman),"Joey Chapman, the new Union Jack continued to fight evil, both alone and as a member of the Knights of Pendragon and the new Invaders.",2011-02-17,27,13,2011-01-01,2010-2017
405,1010984,Union Jack (Montgomery Falsworth),"During World War I, Lord Montgomery Falsworth was recruited by the British army to become one of the first public superhero champions: Union Jack.",1969-12-31,19,4,1969-01-01,1969
406,1009687,Unus,"Angelo Unuscione is a mutant whose powers did not surface until adolescence, when he first used them as a school bully and later as a small time criminal before immigrating to America and using his ability to create a virtually impenetrable force field around himself to launch a career as a flamboyant, invincible costumed wrestler known by the stage name of Unus the Untouchable.",1969-12-31,12,10,1969-01-01,1969
407,1010987,Unus (Age of Apocalypse),Unus worked for Apocalypse and was sent into Old New York City to search for any remaining humans there and to kill them.,2014-04-30,1,1,2014-01-01,2010-2017
409,1009525,Valeria Richards,,2012-03-02,76,13,2012-01-01,2010-2017
410,1017841,Valkyrie (Exiles),,2021-08-04,11,1,2021-01-01,2020-2021
411,1010350,Valkyrie (Samantha Parrington),"Amora magically transformed Samantha Parrington into a raging, man-hating facsimile of the Asgardian warrior goddess Brunnhilde the Valkyrie, whose form and might Amora could replicate at will, having trapped Brunnhilde's soul in a mystical crystal centuries earlier.",2014-04-29,17,14,2014-01-01,2010-2017
412,1011239,Valkyrie (Ultimate),,2014-03-05,9,3,2014-01-01,2010-2017
414,1011342,Vance Astro,,1969-12-31,31,3,1969-01-01,1969
416,1011365,Vanisher (Telford Porter),Nothing is known about the Vanisher's past before he embarked on a one-man crime wave of spectacular thefts using his power of self-teleportation.,1969-12-31,12,4,1969-01-01,1969
417,1009689,Vanisher (Ultimate),Vanisher is a mutant with the power to teleport himself and possibly others across an undefined amount of distance who was recruited by Magneto into his Brotherhood of Mutants.,1969-12-31,3,3,1969-01-01,1969
419,1009690,Vargas,"Vargas claimed that mutants are deviations from the norm, an evolutionary dead end nature explored until it found the true path for the next step in mutant kinds development, the legitimate Homo Sapiens Superior, namely, himself.",1969-12-31,15,3,1969-01-01,1969
421,1011231,Veda,"Magdalena Marie Neuntauben became an accomplished martial artist, then a model, and later an actress, from which she donated all of her proceeds to her charity, which made her a prime candidate for recruitment into the Order.",1969-12-31,11,2,1969-01-01,1969
422,1009691,Vengeance (Michael Badilino),"Michael Badilino became consumed with gaining vengeance on Ghost Rider for what happened to his family, and the demon Mephisto granted him the power with which to do so, transforming him into Vengeance.",2014-04-29,37,4,2014-01-01,2010-2017
423,1009663,Venom (Flash Thompson),"Flash Thompson was the high school bully of Peter Parker while also being one of Spider-Man's biggest fans. After losing his legs during military service, he became the new Venom, working as an operative of the United States government.",2016-05-25,118,30,2016-01-01,2010-2017
424,1010788,Venom (Mac Gargan),"One of Spider-Man's oldest enemies, Mac Gargan has recently abandoned his Scorpion suit and identity and bonded with the alien symbiote that had previously been hosted by Peter Parker and Eddie Brock, becoming the new Venom.",2014-03-05,24,11,2014-01-01,2010-2017
425,1011128,Venom (Ultimate),"While Eddie Brock’s academic career seemed to take off, his personal life was in shambles due to his quick temper and inability to connect with women on any level, and Eddie became isolated, but when his old friend Peter Parker contacted him, he felt a rush of enthusiasm: here, at last, was someone with whom he could truly bond.",2014-03-05,8,6,2014-01-01,2010-2017
